team,games,wins,win_percentage,avg_points_scored,avg_points_allowed,avg_point_differential,dominant_wins,close_wins,blowout_losses
Philadelphia Eagles,1,1,100.0%,24.0,20.0,4.0,0,1,0
Dallas Cowboys,1,0,0.0%,20.0,24.0,-4.0,0,0,0
Denver Broncos,1,1,100.0%,20.0,12.0,8.0,0,0,0
Tennessee Titans,1,0,0.0%,12.0,20.0,-8.0,0,0,0
New Orleans Saints,1,0,0.0%,13.0,20.0,-7.0,0,0,0
Arizona Cardinals,1,1,100.0%,20.0,13.0,7.0,0,1,0
Washington Commanders,1,1,100.0%,21.0,6.0,15.0,1,0,0
New York Giants,1,0,0.0%,6.0,21.0,-15.0,0,0,1
Cleveland Browns,1,0,0.0%,16.0,17.0,-1.0,0,0,0
Cincinnati Bengals,1,1,100.0%,17.0,16.0,1.0,0,1,0
Jacksonville Jaguars,1,1,100.0%,26.0,10.0,16.0,1,0,0
Carolina Panthers,1,0,0.0%,10.0,26.0,-16.0,0,0,1
Los Angeles Rams,1,1,100.0%,14.0,9.0,5.0,0,1,0
Houston Texans,1,0,0.0%,9.0,14.0,-5.0,0,0,0
Los Angeles Chargers,1,1,100.0%,27.0,21.0,6.0,0,1,0
Kansas City Chiefs,1,0,0.0%,21.0,27.0,-6.0,0,0,0
New York Jets,1,0,0.0%,32.0,34.0,-2.0,0,0,0
Pittsburgh Steelers,1,1,100.0%,34.0,32.0,2.0,0,1,0
New England Patriots,1,0,0.0%,13.0,20.0,-7.0,0,0,0
Las Vegas Raiders,1,1,100.0%,20.0,13.0,7.0,0,1,0
Green Bay Packers,1,1,100.0%,27.0,13.0,14.0,1,0,0
Detroit Lions,1,0,0.0%,13.0,27.0,-14.0,0,0,1
Seattle Seahawks,1,0,0.0%,13.0,17.0,-4.0,0,0,0
San Francisco 49ers,1,1,100.0%,17.0,13.0,4.0,0,1,0
Atlanta Falcons,1,0,0.0%,20.0,23.0,-3.0,0,0,0
Tampa Bay Buccaneers,1,1,100.0%,23.0,20.0,3.0,0,1,0
Buffalo Bills,1,1,100.0%,41.0,40.0,1.0,0,1,0
Baltimore Ravens,1,0,0.0%,40.0,41.0,-1.0,0,0,0
Chicago Bears,1,0,0.0%,24.0,27.0,-3.0,0,0,0
Minnesota Vikings,1,1,100.0%,27.0,24.0,3.0,0,1,0
Indianapolis Colts,1,1,100.0%,33.0,8.0,25.0,1,0,0
Miami Dolphins,1,0,0.0%,8.0,33.0,-25.0,0,0,1
