game,original_pick,original_conf,original_prob,cbs_pick,cbs_conf,cbs_prob,pick_changed,confidence_change,method
Miami Dolphins @ Buffalo Bills,Buffalo Bills,16,82.5%,Buffalo Bills,16,107.3%,False,0,odds+expert (7/7)
New York Jets @ Tampa Bay Buccaneers,Tampa Bay Buccaneers,15,68.2%,Tampa Bay Buccaneers,15,85.7%,False,0,odds+expert (6/7)
Green Bay Packers @ Cleveland Browns,Cleveland Browns,14,65.8%,Green Bay Packers,14,82.7%,True,0,expert override (6/7)
Arizona Cardinals @ San Francisco 49ers,San Francisco 49ers,13,65.8%,San Francisco 49ers,13,82.7%,False,0,odds+expert (6/7)
Kansas City Chiefs @ New York Giants,New York Giants,12,63.0%,Kansas City Chiefs,12,73.8%,True,0,expert override (4/7)
Detroit Lions @ Baltimore Ravens,Baltimore Ravens,11,61.4%,Baltimore Ravens,9,71.9%,False,-2,odds+expert (4/7)
Las Vegas Raiders @ Washington Commanders,Washington Commanders,10,59.9%,Washington Commanders,10,72.7%,False,0,odds+expert (5/7)
Los Angeles Rams @ Philadelphia Eagles,Philadelphia Eagles,9,58.0%,Philadelphia Eagles,8,70.4%,False,-1,odds+expert (5/7)
New Orleans Saints @ Seattle Seahawks,Seattle Seahawks,8,58.0%,Seattle Seahawks,7,70.4%,False,-1,odds+expert (5/7)
Cincinnati Bengals @ Minnesota Vikings,Minnesota Vikings,7,56.2%,Minnesota Vikings,6,68.2%,False,-1,odds+expert (5/7)
Denver Broncos @ Los Angeles Chargers,Los Angeles Chargers,6,56.2%,Los Angeles Chargers,11,73.1%,False,5,odds+expert (7/7)
Indianapolis Colts @ Tennessee Titans,Tennessee Titans,5,54.3%,Indianapolis Colts,5,65.9%,True,0,expert override (5/7)
Atlanta Falcons @ Carolina Panthers,Carolina Panthers,4,54.3%,Atlanta Falcons,4,65.9%,True,0,expert override (5/7)
Dallas Cowboys @ Chicago Bears,Chicago Bears,3,54.3%,Dallas Cowboys,3,65.9%,True,0,expert override (5/7)
Pittsburgh Steelers @ New England Patriots,New England Patriots,2,53.2%,Pittsburgh Steelers,2,64.7%,True,0,expert override (5/7)
Houston Texans @ Jacksonville Jaguars,Jacksonville Jaguars,1,53.2%,Jacksonville Jaguars,1,62.4%,False,0,odds+expert (4/7)
