Week 1,DAL @ PHI,KC @ LAC,TB @ ATL,PIT @ NYJ,MIA @ IND,CAR @ JAX,NYG @ WAS,ARI @ NO,CIN @ CLE,LV @ NE,SF @ SEA,TEN @ DEN,DET @ GB,HOU @ LAR,BAL @ BUF,MIN @ CHI,TIE PTS
Amusco,PHI (16),KC (-15),TB (11),PIT (5),MIA (-3),JAX (2),WAS (4),ARI (10),CIN (12),LV (13),SF (14),DEN (1),DET (-6),LAR (7),BUF (8),MIN (9),53
Big Chuck,PHI (15),LAC (1),TB (11),PIT (12),IND (2),JAX (8),WAS (9),ARI (5),CIN (14),NE (-3),SF (10),DEN (13),DET (-4),HOU (-6),BUF (7),MIN (16),44
Big daddy,PHI (16),KC (-15),ATL (-9),PIT (10),MIA (-8),JAX (7),WAS (11),NO (-3),CIN (12),LV (5),SEA (-4),DEN (13),DET (-14),HOU (-6),BUF (2),MIN (1),45
Bijan Mustard,PHI (15),KC (-10),ATL (-6),PIT (9),IND (1),JAX (11),NYG (-14),ARI (12),CIN (13),NE (-8),SF (3),DEN (16),GB (2),LAR (7),BAL (-5),CHI (-4),45
Commish,PHI (16),KC (-9),TB (7),PIT (10),IND (11),JAX (6),WAS (12),ARI (13),CIN (14),NE (-4),SF (5),DEN (15),GB (3),LAR (8),BUF (1),CHI (-2),45
FundaySunday,PHI (16),KC -(9),TB (4),PIT (8),IND (1),JAX (11),WAS (13),ARI (14),CIN (12),NE (-7),SF (5),DEN (15),GB (6),LAR (10),BAL (-3),MIN (2),44
Hails (:,PHI (15),KC (-16),TB (8),NYJ (-7),MIA (-6),JAX (5),WAS (4),NO (-3),CIN (2),NE (-9),SF (10),DEN (11),DET (-12),HOU (-13),BUF (14),CHI (-1),42
I.P. Daly,PHI (16),KC (-8),TB (9),PIT (11),IND (6),CAR (-1),WAS (14),ARI (13),CIN (12),LV (2),SF (7),DEN (15),DET (-5),LAR (10),BUF (3),CHI (-4),46
Karat Cake,PHI (16),LAC (5),TB (8),NYJ (-3),IND (13),CAR (-7),WAS (14),ARI (2),CIN (9),NE (-6),SEA (-10),DEN (15),GB (1),HOU (-11),BUF (12),CHI (-4),37
LorPor,PHI (16),KC (-8),TB (9),PIT (11),MIA (-2),JAX (4),WAS (13),ARI (15),CIN (12),NE (-10),SF (6),DEN (14),DET (-5),HOU (-7),BUF (3),MIN (1),43
Natty Ice,PHI (16),KC (-12),TB (10),NYJ (-4),MIA (-2),JAX (9),WAS (14),ARI (13),CIN (8),LV (6),SF (7),DEN (15),GB (3),LAR (11),BUF (1),CHI (-5),54
Poipu Pauly,PHI (16),KC (-11),TB (3),PIT (2),MIA (-1),JAX (12),WAS (15),ARI (13),CIN (9),NE (-6),SF (4),DEN (14),GB (7),HOU (-10),BUF (8),CHI (-5),46
Raiderjim,PHI (14),LAC (1),TB (8),PIT (12),IND (9),JAX (6),WAS (15),ARI (13),CIN (10),NE (-4),SF (3),DEN (16),GB (7),LAR (11),BUF (2),CHI (-5),42
Sean,PHI (16),KC (-11),TB (10),NYJ (-1),MIA (-2),JAX (9),NYG (-3),NO (-5),CIN (6),LV (8),SF (12),DEN (4),DET (-14),LAR (7),BUF (15),MIN (13),42
snydermeister,PHI (15),KC (-16),ATL (-5),PIT (3),MIA (-8),JAX (11),WAS (13),NO (-9),CIN (2),LV (10),SF (6),DEN (7),DET (-14),LAR (4),BUF (12),CHI (-1),35
Spanish Flies,PHI (15),LAC (3),ATL (-4),PIT (11),IND (8),JAX (10),WAS (14),ARI (12),CIN (13),LV (7),SEA (-5),DEN (16),GB (6),LAR (9),BUF (1),CHI (-2),47
Stevie1,PHI (16),KC (-9),TB (3),PIT (11),IND (4),JAX (10),WAS (14),ARI (12),CIN (13),NE (-8),SF (6),DEN (15),GB (2),LAR (7),BUF (5),CHI (-1),42
Wochie,PHI (16),KC (-12),TB (4),PIT (7),IND (5),JAX (11),WAS (15),ARI (3),CIN (13),NE (-6),SF (8),DEN (14),GB (9),LAR (10),BUF (2),CHI (-1),48
