Week 2,WAS @ GB,LAR @ TEN,SEA @ PIT,BUF @ NYJ,CHI @ DET,NYG @ DAL,CLE @ BAL,SF @ NO,NE @ MIA,JAX @ CIN,CAR @ ARI,DEN @ IND,PHI @ KC,ATL @ MIN,TB @ HOU,LAC @ LV,TIE PTS
Amusco,GB (11),LAR (15),PIT (-7),BUF (14),DET (9),NYG (-13),BAL (16),SF (4),MIA (-3),CIN (5),ARI (12),IND (2),PHI (6),MIN (-10),TB (1),LAC (8),44
Big Chuck,GB (9),TEN (-1),PIT (-11),BUF (15),DET (5),DAL (6),BAL (14),SF (2),MIA (-3),CIN (13),ARI (8),IND (4),PHI (10),MIN (-16),TB (7),LAC (12),47
Big daddy,GB (1),LAR (11),PIT (-12),BUF (14),DET (13),DAL (15),BAL (16),SF (10),MIA (-3),JAX (-2),ARI (9),DEN (-4),KC (5),MIN (-8),HOU (-7),LAC (6),46
Bijan Mustard,GB (7),LAR (11),PIT (-14),BUF (5),DET (12),DAL (13),BAL (16),NO (-4),MIA (-2),CIN (10),ARI (15),IND (6),PHI (1),MIN (-9),HOU (-3),LAC (8),48
Commish,GB (11),LAR (13),PIT (-5),BUF (15),CHI (-1),DAL (14),BAL (16),NO (-3),NE (2),CIN (4),ARI (12),DEN (-10),PHI (9),MIN (-8),TB (7),LAC (6),46
FundaySunday,GB (8),LAR (12),PIT (-5),BUF (15),DET (13),DAL (11),BAL (16),SF (6),MIA (-1),CIN (7),ARI (14),DEN (-3),PHI (2),MIN (-9),HOU (-4),LAC (10),44
Hails (:,GB (16),LAR (8),PIT (-7),NYJ (-5),CHI (-6),DAL (4),BAL (3),SF (15),NE (1),CIN (14),ARI (2),DEN (-9),KC (13),MIN (-12),TB (10),LV (-11),55
I.P. Daly,GB (5),LAR (14),PIT (-8),BUF (15),DET (9),DAL (13),BAL (16),NO (-1),NE (2),CIN (11),ARI (12),DEN (-4),PHI (3),MIN (-7),TB (6),LAC (10),46
Karat Cake,GB (13),LAR (1),PIT (-15),BUF (10),CHI (-2),DAL (14),BAL (16),SF (4),MIA (-3),CIN (12),ARI (11),DEN (-9),PHI (8),MIN (-7),TB (6),LAC (5),48
LorPor,GB (16),LAR (11),PIT (-7),BUF (15),DET (2),DAL (10),BAL (9),SF (13),NE (6),CIN (8),ARI (14),DEN (-3),PHI (1),MIN (-12),TB (4),LAC (5),39
Natty Ice,GB (3),LAR (10),PIT (-4),BUF (11),DET (1),DAL (5),BAL (16),SF (7),NE (6),CIN (12),ARI (15),DEN (-2),PHI (8),ATL (13),TB (9),LAC (14),42
Poipu Pauly,GB (12),LAR (3),PIT (-1),BUF (13),DET (16),DAL (11),BAL (15),SF (10),NE (9),CIN (4),ARI (14),IND (5),PHI (6),MIN (-2),TB (8),LAC (7),45
Raiderjim,GB (6),LAR (3),PIT (-7),BUF (13),DET (14),DAL (15),BAL (16),SF (4),MIA (-2),CIN (10),ARI (12),IND (9),KC (1),MIN (-11),HOU (-8),LAC (5),43
Sean,,LAR (15),PIT (-14),BUF (13),CHI (-12),DAL (11),CLE (-10),SF (9),MIA (-8),CIN (7),ARI (1),IND (6),PHI (5),MIN (-4),TB (3),LAC (2),42
snydermeister,GB (10),LAR (11),PIT (-2),BUF (14),DET (13),DAL (12),CLE (-16),SF (8),MIA (-1),CIN (9),ARI (15),DEN (-3),PHI (4),MIN (-7),HOU (-5),LAC (6),40
Spanish Flies,GB (6),LAR (13),PIT (-10),BUF (14),DET (11),DAL (12),BAL (16),NO (-1),MIA (-2),CIN (9),ARI (15),DEN (-7),PHI (3),MIN (-5),HOU (-4),LAC (8),48
Stevie1,GB (7),LAR (11),PIT (-5),BUF (15),DET (13),DAL (14),BAL (16),SF (9),MIA (-2),CIN (8),ARI (12),DEN (-1),PHI (3),MIN (-10),HOU (-4),LAC (6),47
Wochie,GB (1),LAR (9),PIT (-11),BUF (13),DET (5),DAL (15),BAL (16),SF (7),MIA (-8),CIN (10),ARI (14),IND (4),PHI (3),MIN (-12),HOU (-2),LAC (6),52
