Week 3,MIA @ BUF,IND @ TEN,PIT @ NE,NYJ @ TB,LV @ WAS,LAR @ PHI,ATL @ CAR,CIN @ MIN,HOU @ JAX,GB @ CLE,DEN @ LAC,NO @ SEA,ARI @ SF,DAL @ CHI,KC @ NYG,DET @ BAL,TIE PTS
Amusco,BUF (16),IND (11),PIT (1),TB (14),LV (-5),PHI (6),ATL (-7),MIN (8),JAX (2),GB (-15),LAC (10),SEA (12),SF (13),CHI (3),KC (4),BAL (-9),44
Big Chuck,BUF (16),IND (11),PIT (13),TB (6),WAS (4),PHI (15),CAR (1),MIN (8),HOU (-2),GB (-14),LAC (10),SEA (7),SF (5),DAL (-9),KC (3),BAL (-12),45
Big daddy,BUF (13),TEN (-55),NE (-6),TB (14),WAS (8),PHI (15),CAR (9),MIN (7),HOU (-10),GB (-16),DEN (-1),SEA (12),ARI (-4),CHI (3),NYG (-2),BAL (-11),48
Bijan Mustard,BUF (16),IND (7),PIT (2),TB (13),WAS (10),PHI (1),ATL (-9),MIN (11),HOU (-4),GB (-14),LAC (8),SEA (15),ARI (-6),DAL (-5),KC (12),BAL (-3),54
Commish,BUF (16),IND (7),NE (-3),TB (9),WAS (5),PHI (1),ATL (-10),MIN (2),JAX (6),GB (-15),LAC (12),SEA (13),SF (14),DAL (-8),KC (4),BAL (-11),50
FundaySunday,BUF (16),IND (5),PIT (2),TB (15),WAS (10),PHI (8),ATL (-4),MIN (6),JAX (1),GB (-14),LAC (11),SEA (7),SF (13),DAL (-3),KC (12),BAL (-9),29
Hails (:,BUF (16),IND (15),PIT (14),TB (13),WAS (12),PHI (11),ATL (-10),MIN (9),JAX (3),GB (-4),LAC (2),SEA (5),SF (6),CHI (1),KC (8),DET (7),53
I.P. Daly,-16,IND (11),PIT (8),TB (9),WAS (12),PHI (7),ATL (-14),CIN (-4),HOU (-3),GB (-15),LAC (5),SEA (10),ARI (-1),DAL (-6),KC (13),BAL (-2),54
Karat Cake,BUF (16),IND (12),PIT (1),TB (13),WAS (8),PHI (9),ATL (-10),MIN (2),HOU (-6),GB (-15),LAC (5),SEA (14),SF (4),DAL (-3),KC (7),BAL (-11),52
LorPor,-16,IND (12),PIT (8),TB (15),WAS (11),PHI (7),ATL (-6),MIN (3),HOU (-4),GB (-14),LAC (5),SEA (10),ARI (-13),DAL (-2),KC (9),BAL (-1),43
Natty Ice,BUF (16),IND (13),PIT (4),TB (11),WAS (5),PHI (6),ATL (-12),MIN (3),JAX (9),GB (-15),DEN (-2),SEA (10),ARI (-7),DAL (-8),KC (14),BAL (-1),51
Poipu Pauly,BUF (16),IND (15),PIT (5),TB (14),WAS (6),PHI (10),ATL (-11),CIN (-3),HOU (-4),GB (-13),LAC (9),SEA (8),ARI (-1),DAL (-2),KC (12),BAL (-7),52
Raiderjim,BUF (16),IND (7),PIT (6),TB (14),WAS (10),PHI (9),ATL (-11),MIN (8),JAX (5),GB (-15),LAC (3),SEA (13),SF (2),DAL (-4),KC (12),BAL (-1),50
Sean,BUF (16),IND (15),PIT (4),TB (9),WAS (5),LAR (-1),ATL (-11),MIN (6),JAX (3),GB (-12),DEN (-2),SEA (14),SF (10),CHI (7),KC (13),DET (8),42
snydermeister,BUF (16),IND (11),PIT (3),TB (12),LV (-5),PHI (4),ATL (-1),MIN (13),JAX (2),GB (-15),LAC (10),SEA (14),SF (7),CHI (6),KC (9),BAL (-8),45
Spanish Flies,BUF (16),IND (9),PIT (7),TB (14),WAS (6),PHI (8),ATL (-12),CIN (-3),HOU (-1),GB (-15),LAC (5),SEA (13),ARI (-2),DAL (-4),KC (11),BAL (-10),48
Stevie1,BUF (16),IND (7),PIT (5),TB (12),WAS (14),PHI (9),ATL (-8),MIN (2),JAX (3),GB (-15),LAC (6),SEA (13),SF (4),DAL (-1),KC (10),BAL (-11),47
Wochie,BUF (16),IND (11),PIT (3),TB (14),WAS (5),PHI (2),ATL (-10),MIN (4),JAX (6),GB (-15),LAC (7),SEA (13),SF (1),DAL (-8),KC (12),BAL (-9),52
